待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
南北通透 私密性好 大户型 英才计划 保利和光尘樾 欢迎联系看房,2室,2厅,1卫,76,㎡,南北,,,保利和光尘樾(新房),西青,张家窝,才智道与学府东路交叉口西南侧,"南北通透,玄关入户,私密性好,高绿化率,",135,万,17764,元/㎡
新港街祥和家园双阳金角户型主卧带阳台看房有钥匙紧邻热卖 地铁,2室,2厅,1卫,100,㎡,东南,高层(共34层),2010年建造,世纪祥和家园(滨海),塘沽,新港街,春阳路,"东南,热门小区,南北通透,配套成熟,",127,万,12700,元/㎡
万科大2室 院景洋房3楼 自持物业 一梯两户,2室,2厅,1卫,97.65,㎡,南北,中层(共6层),2009年建造,万科假日风景,西青,中北,"中北大道,近星光路","南北,人气热搜,",145,万,14849,元/㎡
新城悦隽央著精装修130万通透两室次新房随时看房,2室,2厅,1卫,89.53,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",130,万,14521,元/㎡
高绿化率 大户型 装修交付 无中介费随时看,2室,2厅,1卫,90,㎡,南北,,,双威悦馨苑(新房),滨海新区,中新生态城,中新大道管委会前行2公里处,"高绿化率,",135,万,15000,元/㎡
翠景园(武清)次顶层，采光观景好，双卧客厅朝南，南向面,2室,2厅,1卫,90,㎡,南,共5层,2008年建造,翠景园(武清),武清,杨村街,泉达路,"南,满二年,",134,万,14889,元/㎡
   远洋香奈全阳精装两居 位置好近城际 随时看房,2室,2厅,1卫,85.22,㎡,南北,低层(共26层),2015年建造,远洋香奈,武清,杨村街,"翠通路,近强国道","南北,满二年,",140,万,16429,元/㎡
满五   南北通透 2室2厅 精装修 领包入住,2室,2厅,1卫,89.89,㎡,南北,中层(共28层),2010年建造,富力桃园天富园,津南,双港,微山南路,"南北,满五年,近地铁,",120,万,13350,元/㎡
三房朝南 动静分离 大户型 环城四区 未来城 无中介费随时看,2室,2厅,1卫,82,㎡,南,,,未来城,北辰,宜兴埠,宜白路地铁三号线（宜兴埠站）北侧未来城,"南北通透,玄关入户,私密性好,多轨交,",135,万,16464,元/㎡
水木天成阁林园八区一楼带院总价低南北通透,2室,1厅,1卫,84.97,㎡,南北,低层(共6层),2004年建造,水木天成阁林园,红桥,西沽街,"团结环路,近江源东道","南北,满五年,",210,万,24715,元/㎡
荣乐园 满五 带电梯 刚需两居 高楼层采光充足 停车方便,2室,1厅,1卫,83.14,㎡,南,高层(共26层),2000年建造,荣乐园,北辰,青光,新致道,"南,VIP房东直卖,满五年,车位充足,",69,万,8300,元/㎡
新科园 精装大两室 双阳户型 带电梯 采光好 侯台市局对面,2室,1厅,1卫,125,㎡,南,高层(共21层),2000年建造,新科园,西青,中北,碧祥路,"南,满五年,",90,万,7200,元/㎡
带储间一口价 低楼层 朝南 产权清晰 医疗配套成熟 满五,2室,1厅,1卫,90,㎡,南,共5层,2005年建造,九通家园,静海,静海镇,旭华道72号,"南,满五年,户型方正,",95,万,10556,元/㎡
集中供暖 大产权 出行方便 中间楼层采光好 近地铁 电梯房,2室,2厅,1卫,84.02,㎡,南北,中层(共32层),2012年建造,远洋城滨瑞花园,塘沽,胡家园街,远洋城一支路,"南北,满五年,采光较好,",77,万,9165,元/㎡
  房 两居室二十多W送装修 拎包入住 观景房环境好临水系,2室,2厅,1卫,88.57,㎡,南北,高层(共18层),2014年建造,锦绣香江棕榈园,宝坻,大白街,宝白公路,"南北,满二年,采光较好,",27,万,3049,元/㎡
大两居 近地铁 装修好 出行方便 满五 房龄新,2室,1厅,1卫,89,㎡,东西,中层(共9层),2016年建造,青果青城莹波苑,塘沽,渤海石油街,金岸三道,"东西,满五年,",66,万,7416,元/㎡
青光 满五   精装修 大两居 正南朝向 有电梯,2室,1厅,1卫,82.84,㎡,南,高层(共28层),2013年建造,双青新家园荣馨园,北辰,青光,"新致道,近嘉康西路","南,满五年,",78,万,9416,元/㎡
南北通透 商业配套齐全 满五 电梯房 双卫 低密宜居,4室,2厅,2卫,125.68,㎡,南北,低层(共23层),2013年建造,盛世家园,武清,杨村街,振华西道429号,"南北,满五年,",187,万,14880,元/㎡
中间楼层，孔雀城精装大两居小区前排 房子保持干净 白天采光好,2室,2厅,1卫,93,㎡,南北,中层(共32层),2016年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,"南北,唯一住房,",75,万,8065,元/㎡
新上 真.实 金角3居室 一期 实景 诚意卖 价位可议,3室,2厅,2卫,152.81,㎡,南北,中层(共24层),2007年建造,时代奥城,南开,体育中心,宾水西道,"南北,满五年,近地铁,车位充足,",470,万,30758,元/㎡
双卫 满五 小区绿化高 有电梯 南向采光好 房龄新 动静分离,3室,2厅,2卫,130.51,㎡,南,中层(共6层),2016年建造,云锦世家(北区),西青,中北,"星光路,近卉康道","南,满五年,绿化率高,",267,万,20459,元/㎡
河东区大王庄街绚丽园2室1厅,2室,1厅,1卫,89.26,㎡,东西,高层(共32层),2010年建造,绚丽园,河东,大王庄,北长路1号,"东西,满二年,近地铁,",195,万,21847,元/㎡
近地铁 商业配套成熟 商品房 大两房 中间好楼层 交通便利,2室,1厅,1卫,87,㎡,南北,中层(共30层),2014年建造,香颂园,塘沽,胡家园街,津塘公路7016号,"南北,满五年,",69,万,7932,元/㎡
生态城万达对面一楼带院众美青城100.45平154万,3室,2厅,1卫,100.45,㎡,南,低层(共8层),2015年建造,众美青城,滨海新区,中新生态城,中天大道,"南,满五年,采光较好,多人关注,",154,万,15332,元/㎡
泉鑫佳苑(东区)  中间楼层 小区新 大两房 通透急售,2室,2厅,1卫,101.96,㎡,南北,中层(共16层),2018年建造,泉鑫佳苑(东区),武清,杨村街,泉水道,"南北,有电梯,",95,万,9318,元/㎡
精装修，两室一厅性价比超高，性价比超高,2室,1厅,1卫,89.14,㎡,南,低层(共27层),2021年建造,万科观澜,塘沽,胡家园街,和角道,"南,房东直卖,满二年,次新房,",85,万,9536,元/㎡
房主急售，精装好房  商圈成熟  物业好,2室,2厅,1卫,93,㎡,南,低层(共18层),2010年建造,福源花园,大港,古林街,"港东八道,近海景七路","南,满五年,采光较好,",109,万,11721,元/㎡
中新生态城 双卫格局 次新小区 出行方便 临地铁,3室,2厅,2卫,114.02,㎡,南,低层(共25层),2019年建造,宜禾美嘉园,滨海新区,中新生态城,和意路,"南,满五年,次新房,",185,万,16226,元/㎡
和悦花园 南向采光好 满二 电梯房 小区新 正规商品房,3室,2厅,1卫,129.7,㎡,南,低层(共15层),2015年建造,和悦花园,武清,杨村街,泉发路,"南,满二年,",179,万,13802,元/㎡
欣丰苑 正南朝向 有电梯 次新小区 大两房 出行方便,2室,2厅,1卫,85,㎡,南,高层(共25层),2021年建造,欣丰苑,塘沽,北塘街,欣发道,"南,满五年,车位充足,",63,万,7412,元/㎡
首创悦山郡 三室洋房 一楼带院子 前后无遮挡 有钥匙 随时看,3室,2厅,1卫,94.61,㎡,南北,低层(共8层),2018年建造,首创悦山郡,津南,辛庄,天津大道,"南北,满二年,",169,万,17863,元/㎡
蒲瑞和园(西区) 南向采光好 产权清晰 电梯房杨村街,1室,1厅,1卫,62,㎡,南,低层(共17层),2011年建造,蒲瑞和园(西区),武清,杨村街,来源道,"南,有电梯,",58,万,9355,元/㎡
高新区贻锦台 通透三居室 年底着急用  给价就出手 随时看,3室,2厅,1卫,102.37,㎡,南北,高层(共31层),2011年建造,融科贻锦台,塘沽,工农村街,"厦门路,近云山道","南北,满五年,",168,万,16412,元/㎡
商务区 滨海江来 落地窗洋房！两梯两户 临近万达 随时看房,3室,2厅,2卫,143,㎡,南北,高层(共11层),2021年建造,旭辉滨海江来天晖苑,滨海新区,滨海城区,解放路,"南北,近地铁,车位充足,多人关注,",248,万,17343,元/㎡
恒大山水城两居，价格可议，精装修两居室，中间楼层，无遮挡,2室,2厅,1卫,97.22,㎡,南北,高层(共32层),2015年建造,恒大山水城(东区),武清,泗村店镇,碱东路,"南北,满五年,车位充足,",52.7,万,5421,元/㎡
河北区光复道街盛海公寓2室1厅,2室,1厅,1卫,84.21,㎡,南北,低层(共7层),2001年建造,盛海公寓,河北,光复道街,狮子林大街91号,"南北,满五年,近地铁,",230,万,27313,元/㎡
满五   小区新 大两居 临地铁 带电梯 交通便利 诚心出售,2室,1厅,1卫,85,㎡,南,低层(共25层),2016年建造,欣然苑,塘沽,北塘街,"欣发道,近嘉顺路","南,满五年,",65,万,7648,元/㎡
远洋城滨雅花园 朝南 正规商品房 中间好楼层 电梯房 房龄新,2室,1厅,1卫,88,㎡,南,中层(共34层),2016年建造,远洋城滨雅花园,塘沽,胡家园街,远洋一支路,"南,满五年,",87,万,9887,元/㎡
保利 河雅颂(南区) 双卫格局 正南朝向 近医院,3室,2厅,2卫,138,㎡,南,低层(共27层),2010年建造,保利上河雅颂(南区),武清,杨村街,"泉发路,近振华西道","南,满五年,车位充足,",168,万,12174,元/㎡
紫云园 南北通透 满五 双卫生间 购物方便 近地铁,3室,2厅,2卫,138,㎡,南北,中层(共28层),1998年建造,紫云园,塘沽,新港街,春阳路681号,"南北,满五年,近地铁,车位充足,",190,万,13769,元/㎡
直降20万啦，地铁旁两室两厅，精装，可以装成三室，南北通透,2室,2厅,1卫,109.88,㎡,南北,高层(共24层),2011年建造,运通花园,西青,中北,外环西路,"南北,满五年,近地铁,",103,万,9374,元/㎡
长达公寓一楼两室，双阳户型，采光无遮挡,2室,1厅,1卫,84.83,㎡,南北,低层(共6层),1999年建造,长达公寓,河西,尖山路,解放南路475号,"南北,近地铁,",200,万,23577,元/㎡
双街新家园 大两居 正规商品房 密度低 满五 近地铁,2室,1厅,1卫,87.2,㎡,南北,高层(共6层),2003年建造,双街新家园,北辰,双街镇,"龙顺道,近顺境路","南北,满五年,",69,万,7913,元/㎡
带电梯 满五   正南朝向 环境优美 房龄新 近地铁,2室,2厅,1卫,85.57,㎡,南,中层(共22层),2018年建造,融创东岸名郡,北辰,双街镇,小街新苑路,"南,满五年,绿化率高,",85,万,9934,元/㎡
洋房一居室 带装修 有钥匙 看房方便,1室,1厅,1卫,69.04,㎡,南,共5层,2008年建造,翠杉园,西青,中北,"中北大道,近支路五","南,房东直卖,",79,万,11443,元/㎡
中核智慧城，成熟小区，人气旺，交通便利！可议！,3室,1厅,1卫,98.2,㎡,南北,低层(共11层),2022年建造,中核智慧城,滨海新区,中新生态城,"中央大道,近玉砂道","南北,唯一住房,车位充足,多人关注,",89,万,9064,元/㎡
春和仁居 临地铁 得房好 电梯房 大两房 商业配套成熟,2室,1厅,1卫,88.46,㎡,南北,低层(共15层),2008年建造,春和仁居,河北,建昌道街,"建昌道,近群芳路","南北,满二年,近地铁,",183,万,20688,元/㎡
融创御园 中间好楼层 近   采光充足 配套齐全 次新房,3室,2厅,1卫,99.53,㎡,南,中层(共28层),2017年建造,融创御园,北辰,北仓,北辰道,"南,满二年,车位充足,",182,万,18286,元/㎡
南北通透 有电梯 正规商品房 次新小区 近地铁 大两房,2室,1厅,1卫,86.84,㎡,南北,中层(共18层),2021年建造,欣丰苑,塘沽,北塘街,欣发道,"南北,满二年,车位充足,",86,万,9904,元/㎡
富瀛洲花园 2室1厅 95.61平,2室,1厅,1卫,95.61,㎡,南北,高层(共18层),2008年建造,富瀛洲花园,河北,建昌道街,红星路14号,"南北,满五年,近地铁,绿化率高,",159,万,16631,元/㎡
44万可议大两室精装修送储藏室家具家电全送看房方便,2室,2厅,1卫,91.54,㎡,南北,中层(共6层),2010年建造,金源丽都,武清,陈咀镇,梅石路,"南北,满五年,",44,万,4807,元/㎡
顺通朝阳一室  带阳台  婚房  满五  ,1室,1厅,1卫,53.89,㎡,南,高层(共26层),2015年建造,顺通家园(南区),西青,中北,外环西路,"南,满五年,近地铁,多人关注,",66,万,12248,元/㎡
万科观澜 商品房 精装修 电梯房 刚需两居 商业配套齐全,2室,1厅,1卫,89.84,㎡,南,高层(共33层),2020年建造,万科观澜,塘沽,胡家园街,和角道,"南,满二年,次新房,",86,万,9573,元/㎡
商品房 大两居 带电梯 中间楼层采光好 车位充足 小区新,2室,1厅,1卫,89.47,㎡,南北,高层(共29层),2016年建造,尚智园,津南,北闸口,福惠道,"南北,房东直卖,满二年,车位充足,",60,万,6707,元/㎡
河西三片惠众家园 私产满两年 精装修两室朝南 次新房带电体！,2室,2厅,1卫,91,㎡,南,低层(共30层),2019年建造,惠众家园,河西,小海地,微山路,"南,满二年,近地铁,次新房,",175,万,19231,元/㎡
东丽湖万科城赏溪苑 高楼层采光充足 带电梯 房龄新 装修好,2室,2厅,1卫,81.6,㎡,南,高层(共18层),2018年建造,东丽湖万科城赏溪苑,东丽,东丽湖,"东丽大道,近夏湖路","南,满二年,户型方正,人气热搜,",55,万,6741,元/㎡
次新房 禹州悦府 所见即所得 价可谈 业主着急出售,3室,2厅,1卫,89,㎡,南北,中层(共11层),2021年建造,禹洲悦府,塘沽,新城镇,"国兴路,近津同道","南北,满二年,次新房,",90,万,10113,元/㎡
宝龙城南苑 小三房 有电梯 精装好房 小区新 满二,3室,2厅,1卫,89.48,㎡,南北,低层(共11层),2015年建造,宝龙城南苑,滨海新区,中新生态城,"海晨道,近安明路","南北,满二年,",110,万,12294,元/㎡
八方观园 满二 电梯房 近地铁 楼龄新 南北通透,2室,1厅,0卫,98,㎡,南北,中层(共25层),2016年建造,八方观园,塘沽,西大沽街,"天津大道,近水线路","南北,满二年,户型方正,",107,万,10919,元/㎡
快来看呀41万可议买94平米大两居精装修,2室,2厅,1卫,94.02,㎡,南北,中层(共6层),2014年建造,恒祥家园,武清,陈咀镇,梅石路,"南北,满五年,",41,万,4361,元/㎡
中建壹方九里宸澜华庭 双卫生间 次新小区 满二 南北通透,3室,2厅,2卫,113.64,㎡,南北,低层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,"南北,满二年,次新房,",170,万,14960,元/㎡
远洋城滨翔花园 商圈成熟 满五 南北通透 商品住宅,2室,2厅,1卫,87,㎡,南北,高层(共30层),2012年建造,远洋城滨翔花园,塘沽,胡家园街,津塘公路7612号,"南北,满五年,",85,万,9771,元/㎡
融创三室南北东 三面朝阳户型 看房有钥匙,3室,1厅,1卫,97.56,㎡,南,高层(共21层),2019年建造,融创融园汇莲美苑,东丽,万新街,津滨大道,"南,近地铁,次新房,",165,万,16913,元/㎡
八方观园 带电梯 楼龄新 临地铁 大两居 精装修,2室,1厅,1卫,98.19,㎡,南北,高层(共31层),2016年建造,八方观园,塘沽,西大沽街,"天津大道,近水线路","南北,房东直卖,满五年,",102,万,10389,元/㎡
远洋城滨愉花园 商业配套成熟 临地铁 刚需两居 出行方便,2室,1厅,1卫,90,㎡,南,高层(共33层),2014年建造,远洋城滨愉花园,塘沽,胡家园街,"远洋城一支路,近远洋自然路","南,满五年,",75,万,8334,元/㎡
钻.石山 全明两室 地铁56号线 好楼层 急售,2室,2厅,1卫,86,㎡,东北,高层(共42层),2011年建造,招商钻石山星城,南开,体育中心,卫津南路,"东北,近地铁,",249,万,28954,元/㎡
雅仕兰庭精装修  全阳 2室中间楼层采光好 诚意卖 可谈,2室,2厅,1卫,87.14,㎡,南,中层(共30层),2006年建造,雅仕兰庭,河东,富民路,月牙河南路35号,"南,满五年,近地铁,绿化率高,",177,万,20313,元/㎡
小张推荐 生态城 南开 前排看海 赠送40平露台 力高阳光海,2室,1厅,1卫,86,㎡,南北,低层(共27层),2016年建造,力高阳光海岸逸海苑,滨海新区,滨海城区,航海道,"南北,满二年,",59,万,6861,元/㎡
观文轩 南北通透两室  中间楼层 左面文化中心 右面万达地铁,2室,2厅,1卫,88,㎡,南北,共3层,2020年建造,万科滨海大都会观文轩,滨海新区,滨海城区,大连东道,"南北,满二年,次新房,",185,万,21023,元/㎡
紫泉庭苑 次新房 满二 精装修 有电梯 朝南 刚需两居,2室,1厅,1卫,89.45,㎡,南,低层(共14层),2019年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满二年,次新房,",138,万,15428,元/㎡
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,㎡,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,热门小区,新上小区,优势户型,",135,万,15883,元/㎡
正荣润璟湾 通透两室 中间楼层 位置好,2室,2厅,1卫,81.16,㎡,南,中层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,热门小区,配套成熟,随时可看,",129,万,15895,元/㎡
卧室全朝南 户型方正 大户型 装修交付 金辉江山铭著 欢迎联系看房,2室,2厅,1卫,79,㎡,南北,,,金辉江山铭著,西青,侯台,海泰发展三道6号,"高绿化率,",165,万,20887,元/㎡
南向采光好 交通便捷 医疗配套成熟 满五 电梯房,2室,2厅,1卫,90,㎡,南,低层(共17层),2017年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满五年,采光较好,",138,万,15334,元/㎡
荔城公馆 小区新 商业配套齐全 有电梯 刚需两居 满五  ,2室,2厅,1卫,86.18,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",122,万,14157,元/㎡
满五   精装可拎包入住 购物方便 正南朝向 大两居,2室,2厅,1卫,94.28,㎡,南,低层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",148,万,15698,元/㎡
国企开发 厨卫全明 户型方正 大户型 低单价 北新玉龙湾 良心推荐,2室,2厅,1卫,93,㎡,南,,,北新玉龙湾(新房),武清,杨村街,开源道与新兴路交口,,125.6,万,13500,元/㎡
正荣2期 毛坯2室适合婚房 厨卫全明设计 中间层 次新小区,2室,1厅,1卫,81.48,㎡,南北,中层(共27层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,",120,万,14728,元/㎡
美景园 商圈成熟 近地铁 医疗配套成熟 低密宜居 精装好房,2室,2厅,1卫,85.7,㎡,南北,中层(共6层),2000年建造,美景园,塘沽,杭州道街,河北路2567号,"热门小区,南北通透,满五,",112,万,13069,元/㎡
正荣2期新上2室 明厨明卫 电梯中间层  次新小区楼龄新,2室,2厅,1卫,82.25,㎡,南,低层(共25层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,满五年,绿化率高,",120,万,14590,元/㎡
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",134,万,15262,元/㎡
高绿化率 客餐厅相连 花园洋房 考虑可私聊,3室,2厅,2卫,107,㎡,南北,,,龙湖金科雍鑫春江天玺,武清,杨村街,新兴道与浩源道交口,"低容积,",135,万,12617,元/㎡
中建壹方九里宸澜华庭 高楼层采光充足 大两居 商品住宅,2室,2厅,1卫,84,㎡,南北,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,"南北,满二年,次新房,",137,万,16310,元/㎡
枫桦园精装两室 中间楼层 地采暖全阳户型 随时看 价格可议,2室,2厅,1卫,86,㎡,南,中层(共25层),2013年建造,枫桦园,西青,中北,中北大道94号,"南,满五年,",125,万,14535,元/㎡
富力尚悦居 装修好 中间好楼层 房龄新 满五 小三房,3室,2厅,1卫,91.21,㎡,南,中层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",128,万,14034,元/㎡
大型社区 客餐厅相连 花园洋房 考虑可私聊,3室,2厅,2卫,107,㎡,南北,,,龙湖金科雍鑫春江天玺,武清,杨村街,新兴道与浩源道交口,"南北通透,厨卫全明,主卧套房,低容积,",140,万,13085,元/㎡
次新房 正南朝向 电梯房 小三房 停车方便 满二,3室,2厅,1卫,94,㎡,南,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南,满二年,车位充足,",135,万,14362,元/㎡
香雍玖和 次新小区 高绿化 朝南 刚需小三居 满二 超低密度,3室,2厅,1卫,100,㎡,南,高层(共24层),2021年建造,香雍玖和,武清,杨村街,"光明道,近新兴路","南,满二年,绿化率高,多人关注,",125,万,12500,元/㎡
中层金角）拎包即住）本业主熟）直售 少）随时走手续,3室,2厅,1卫,94.98,㎡,南,中层(共22层),2019年建造,旭辉燕南园,西青,精武,京华道21号,"南,满二年,绿化率高,",145,万,15267,元/㎡
大型社区 大户型 低单价 无中介费随时看,3室,2厅,1卫,90,㎡,南北,,,梧桐大道(新房),武清,下朱庄街,天和路东侧150米,"低容积,",119.7,万,13300,元/㎡
盛世郦园 刚需两居 购物方便 装修好 满五 高楼层视野无遮挡,2室,2厅,1卫,94.28,㎡,南,高层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,采光较好,人气热搜,",136,万,14426,元/㎡
急售 新城悦隽央著 赠15万精装 十三小十一中 紧邻杨一城际,2室,2厅,1卫,88,㎡,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,人气热搜,",132,万,15000,元/㎡
柴楼新庄园竹园 近地铁 楼龄新 购物方便 满五 中间楼层,2室,1厅,1卫,92.04,㎡,西北,中层(共26层),2014年建造,柴楼新庄园竹园,北辰,双街镇,顺畅路16号,"西北,热门小区,近地铁,房东急售,",95,万,10322,元/㎡
南站万科降价三室 满五省个税 钥匙随时看 这周必卖好房,3室,2厅,1卫,89.54,㎡,南北,低层(共9层),2014年建造,万科四季花城雅园,西青,张家窝,文苑路,"南北,满五年,",130,万,14519,元/㎡
南北通透 客餐厅相连 大户型 融创·云潮府 无中介费随时看,3室,2厅,1卫,89,㎡,南,,,融创·云潮府,津南,海河教育园区,同德路与和慧南路交口,"南北通透,厨卫全明,户型方正,低容积,",177,万,19888,元/㎡
远洋新干线 南北通透 板楼 大产权 带电梯 刚需房,3室,1厅,1卫,86,㎡,南北,低层(共13层),2010年建造,远洋新干线,东丽,空港经济区,"流霞路,近东六道","南北,满五年,",130,万,15117,元/㎡
中交樾公馆 大两居 南北通透 满五 带电梯 房龄新,2室,1厅,1卫,85,㎡,南北,中层(共17层),2016年建造,中交樾公馆,西青,张家窝,枣林大道21号,"南北,满五年,户型方正,人气热搜,",111,万,13059,元/㎡
旭辉御府 不临高铁 好楼层 满5年无个税,3室,2厅,1卫,91.98,㎡,南北,高层(共27层),2015年建造,旭辉御府,西青,中北,"卉康道,近海光路","南北,绿化率高,多人关注,",125.4,万,13634,元/㎡
国企开发 南北通透 客餐厅相连 大户型 低总价 中交雅郡·城东春晓 无中介费随时看,3室,2厅,1卫,95,㎡,南北,,,中交雅郡·城东春晓,东丽,金钟街,地铁6号线金钟街地铁站旁,"南北通透,厨卫全明,主卧套房,轨交房,",133,万,14000,元/㎡
张家窝 满五 精装好房 正南朝向 电梯房 居住密度低 小区新,3室,2厅,1卫,87.97,㎡,南,高层(共11层),2014年建造,星河香榭园,西青,张家窝,"高泰路,近知景道","南,满五年,绿化率高,多人关注,",122,万,13869,元/㎡
达观一楼 带大院子（随时看房诚意出售） 独立餐厅好户型,2室,2厅,1卫,87.81,㎡,南北,共5层,2007年建造,红磡领世郡领世达观(一二期),津南,双港,领世环路,"南北,配套成熟,优势户型,价格优惠,",216,万,24599,元/㎡
杨村街 小区新 满五   大两居 装修好 低密宜居 正南朝向,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",115,万,13328,元/㎡
秋瑞家园 医疗配套成熟 电梯房 交通便利 满五  ,2室,1厅,1卫,86.92,㎡,南,中层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,"南,满五年,近地铁,",93,万,10700,元/㎡
轨交房 园林景观 全明空间 随时约看,2室,2厅,1卫,82,㎡,南,,,龙曜城,北辰,天穆,京津路和普济河道交会东行300米,"轨交房,高绿化率,",131.2,万,16000,元/㎡
金都花园(武清) 朝南 楼龄新 满五   密度低 大两房,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",120,万,13907,元/㎡
高楼层采光充足 小区新 满五   带电梯 南向采光好,2室,2厅,1卫,81.42,㎡,南,高层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",125,万,15353,元/㎡
全明婚房2居室 地采暖 满五年 中间层,2室,2厅,1卫,80.77,㎡,南,低层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,绿化率高,多人关注,",120,万,14858,元/㎡
保利·西棠和煦,3室,2厅,1卫,89,㎡,南北,,,保利·西棠和煦,津南,海河教育园区,宁慧璐和同德路交口（南开大学新校区北门对面）,"购物中心,高绿化率,",178,万,20000,元/㎡
华亭国际洋房 低楼层 公摊少 南北通透全明装修好,2室,2厅,1卫,87.27,㎡,南北,低层(共6层),2007年建造,华亭国际,西青,中北,"中北大道,近星光路","南北,",140,万,16043,元/㎡
中北镇次新小区精装三室，装修的很好，中高楼层，诚心出售，抓紧,3室,1厅,1卫,91.05,㎡,南北,高层(共26层),2015年建造,旭辉御府,西青,中北,"卉康道,近海光路","南北,满五年,绿化率高,多人关注,",126,万,13839,元/㎡
急售 十三小 十一中 新城悦隽央著 总价低 看房方便,2室,2厅,1卫,86.49,㎡,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",120,万,13875,元/㎡
南北通透 客餐厅相连 大户型 低单价 天安象屿智慧城 欢迎联系看房,3室,2厅,2卫,100,㎡,南北,,,天安象屿智慧城,东丽,东丽湖,津汉公路二号桥与三号桥之间北侧(津汉公路与宁静高速交口处）,"高绿化率,",130,万,13000,元/㎡
雍鑫红星华府通户型，好楼层看房方便，精装修,2室,2厅,1卫,87.32,㎡,南北,中层(共17层),2019年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满二年,次新房,",135,万,15461,元/㎡
振业名邸 急售！红桥房本红桥   交通教育医疗资源富集 次新,2室,1厅,1卫,92.38,㎡,南,高层(共23层),2016年建造,振业名邸,红桥,双环邨街,辰兴路,"南,满五年,近地铁,人气热搜,",139,万,15047,元/㎡
宾水东里 LUO沪可转 海河英才 平迁   随时看 七天下本,2室,1厅,1卫,38.93,㎡,西南,高层(共8层),1990年建造,宾水东里,河西,天塔,"宾水道,近沿河路","西南,近地铁,价格优惠,房东急售,",72,万,18495,元/㎡
杨村街 商品住宅 小区新 南向采光好 高楼层视野好 满二,3室,2厅,1卫,107.36,㎡,南,高层(共27层),2015年建造,盛世睿园,武清,杨村街,新城南东路东侧,"南,满二年,人气热搜,",128,万,11923,元/㎡
厨卫全明 主卧套房 大户型 低总价 金重·金翠澜庭 来电价格可议,3室,2厅,1卫,99,㎡,南北,,,金重·金翠澜庭,静海,静海镇,静王路和次干路五交口,"南北通透,厨卫全明,客餐厅相连,低容积,",130,万,13132,元/㎡
碧泉花园 正南朝向 购物方便 大两居,2室,1厅,1卫,88,㎡,南,低层(共6层),2006年建造,碧泉花园,西青,杨柳青,柳霞路,"南,",120,万,13637,元/㎡
杨村街 板楼 大两居 南北通透 精装修 70年产权,2室,2厅,1卫,81,㎡,南北,低层(共32层),2014年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南北,满五年,户型方正,",133,万,16420,元/㎡
雍鑫红星华府 大两房 楼龄新 高楼层采光充足 商品住宅,2室,2厅,0卫,87.32,㎡,南北,高层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满二年,",120,万,13743,元/㎡
国企开发 轨交房 高绿化率 玄关入户 低总价 欢迎咨询,3室,2厅,1卫,105,㎡,南北,,,金隅金玉府(新房),东丽,金钟街,慧捷路与金钟河大街交口,"南北通透,厨卫全明,户型方正,轨交房,",130,万,12381,元/㎡
